name,hp,hpp,hp5,hp5p,mp,mpp,mp5,mp5p,ad,adp,as,asp,ar,arp,mr,mrp,ms,range
Aatrox,395,85,5.75,0.5,0,0,0,0,55,3.2,0.651,3,14,3.8,30,1.25,345,150
Ahri,380,80,5.5,0.6,230,50,6.25,0.6,50,3,0.668,2,11,3.5,30,0,330,550
Akali,445,85,7.25,0.65,200,0,50,0,53,3.2,0.694,3.1,16.5,3.5,30,1.25,350,125
Alistar,442,102,7.25,0.85,215,38,6.45,0.45,55.03,3.62,0.625,2.13,14.5,3.5,30,1.25,330,125
Amumu,472,84,7.45,0.85,220,40,6.5,0.525,47,3.8,0.638,2.18,18,3.3,30,1.25,335,125
Anivia,350,70,4.65,0.55,257,53,7,0.6,48,3.2,0.625,1.68,10.5,4,30,0,325,600
Annie,384,76,4.5,0.55,250,50,6.9,0.6,49,2.625,0.579,1.36,12.5,4,30,0,335,625
Ashe,395,79,4.5,0.55,173,35,6.3,0.4,46.3,2.85,0.658,4,11.5,3.4,30,0,325,600
Blitzcrank,423,95,7.25,0.75,200,40,6.6,0.5,55.66,3.5,0.625,1.13,14.5,3.5,30,1.25,325,125
Brand,380,76,4.5,0.55,250,45,7,0.6,51.66,3,0.625,1.36,12,3.5,30,0,340,550
Caitlyn,390,80,4.75,0.55,255,35,6.5,0.55,47,3,0.625,4,13,3.5,30,0,325,650
Cassiopeia,380,75,4.85,0.5,250,50,7.1,0.75,47,3.2,0.644,1.68,11.5,4,30,0,335,550
Cho'Gath,440,80,7.5,0.85,205,40,6.45,0.45,54.1,4.2,0.625,1.44,19,3.5,30,1.25,345,125
Corki,375,82,4.5,0.55,243,37,6.5,0.55,48.2,3,0.658,2.3,13.5,3.5,30,0,325,550
Darius,426,93,8.25,0.95,200,37.5,6,0.35,50,3.5,0.679,2.6,20,3.5,30,1.25,340,125
Diana,438,90,7,0.85,230,40,7,0.6,48,3,0.625,2.25,16,3.6,30,1.25,345,150
Dr. Mundo,433,89,6.5,0.75,0,0,0,0,56.23,3,0.625,2.8,17,3.5,30,1.25,345,125
Draven,420,82,5,0.7,240,42,6.95,0.65,46.5,3.5,0.679,2.6,16,3.3,30,0,330,550
Elise,395,80,4.7,0.6,240,50,6.8,0.65,47.5,3,0.625,1.75,12.65,3.35,30,0,335,550
Evelynn,414,86,6.95,0.55,180,42,7.1,0.6,48,3.3,0.658,3.84,12.5,4,30,1.25,340,125
Ezreal,350,80,5.5,0.55,235,45,7,0.65,47.2,3,0.625,2.8,12,3.5,30,0,325,550
Fiddlesticks,390,80,4.6,0.6,251,59,6.9,0.65,45.95,2.625,0.625,2.11,11,3.5,30,0,335,480
Fiora,450,85,6.3,0.8,220,40,7.25,0.5,54.5,3.2,0.672,3,15.5,3.5,30,1.25,350,125
Fizz,414,86,7,0.7,200,40,6.15,0.45,53,3,0.658,3.1,13,3.4,30,1.25,335,175
Galio,435,85,7.45,0.75,235,50,7,0.7,56.3,3.375,0.638,1.2,17,3.5,30,0,335,125
Gangplank,495,81,4.25,0.75,215,40,6.5,0.7,54,3,0.651,2.75,16.5,3.3,30,1.25,345,125
Garen,455,96,7.5,0.75,0,0,0,0,52.5,3.5,0.625,2.9,19,2.7,30,1.25,345,125
Gragas,434,89,7.25,0.85,221,47,6.45,0.45,55.78,3.375,0.651,2.05,16,3.6,30,0,340,125
Graves,410,84,5.5,0.7,255,40,6.75,0.7,51,3.1,0.625,2.9,15,3.2,30,0,330,525
Hecarim,440,95,8,0.75,210,40,6.5,0.6,56,3.2,0.67,2.5,16,4,30,1.25,345,175
Heimerdinger,350,75,4.5,0.55,240,65,7,0.65,49.24,3,0.625,1.21,7,3,30,0,325,550
Irelia,456,90,7.5,0.65,230,35,7,0.65,56,3.3,0.665,3.2,15,3.75,30,1.25,345,125
Janna,356,78,4.5,0.55,302,64,6.9,0.6,49,2.95,0.625,2.61,9,3.8,30,0,335,475
Jarvan IV,420,90,7,0.7,235,40,6,0.45,50,3.4,0.658,2.5,14,3.6,30,1.25,340,175
Jax,463,98,7.45,0.55,230,35,6.4,0.7,56.3,3.375,0.638,3.4,18,3.5,30,1.25,350,125
Jayce,420,90,6,0.8,240,40,7,0.7,46.5,3.5,0.658,3,12.5,3.5,30,0,335,125
Karma,383,83,4.7,0.55,290,50,6.8,0.65,50,3.3,0.625,2.3,9,4,30,0,335,525
Karthus,390,75,5.5,0.55,270,61,6.5,0.6,42.2,3.25,0.625,2.11,11,3.5,30,0,335,450
Kassadin,433,78,6.95,0.5,230,45,6.9,0.6,52.3,3.9,0.638,3.7,14,3.2,30,1.25,340,125
Katarina,395,83,6.95,0.55,0,0,0,0,53,3.2,0.658,2.74,14.75,4,30,1.25,345,125
Kayle,418,93,7,0.75,255,40,6.9,0.525,53.3,2.8,0.638,2.5,17,3.5,30,0,335,125
Kennen,403,79,4.65,0.65,200,0,50,0,47.2,3.3,0.69,3.4,14,3.75,30,0,335,550
Kha'Zix,430,85,6.25,0.75,260,40,6.75,0.5,50,3.1,0.665,2.7,15,3,30,1.25,350,125
Kog'Maw,440,84,5,0.55,295,40,7.5,0.7,46,3,0.665,2.65,13,3.53,30,0,330,500
LeBlanc,390,75,4.5,0.55,250,50,6.9,0.6,51,3.1,0.625,1.4,12,3.5,30,0,335,525
Lee Sin,428,85,6.25,0.7,200,0,50,0,55.8,3.2,0.651,3,16,3.7,30,1.25,350,125
Leona,430,87,9,0.85,235,40,8,0.7,55,3,0.625,2.9,18,3.1,30,1.25,335,125
Lissandra,365,84,6,0.55,220,50,5,0.4,48,2.7,0.625,1.36,10,3.7,30,0,325,550
Lucian,390,80,5.1,0.65,230,41,6,0.65,46,3,0.638,3.3,15,3,30,0,330,
Lulu,415,82,6,0.72,200,55,6,0.6,44.4,2.6,0.625,2.2,9,3.7,30,0,325,550
Lux,345,79,4.5,0.55,250,50,6.6,0.6,50,3.3,0.625,1.36,8,4,30,0,330,550
Malphite,423,90,7.45,0.55,215,40,6.4,0.55,56.3,3.375,0.638,3.4,18,3.75,30,1.25,335,125
Malzahar,380,80,4.5,0.55,250,45,7,0.6,51.66,3,0.625,1.36,12,3.5,30,0,340,550
Maokai,421,90,7.25,0.85,250,46,6.45,0.45,58,3.3,0.694,2.13,18,4,30,0,335,125
Master Yi,444,86,6.75,0.65,199,36,6.5,0.45,55.1,3.1,0.679,2.98,16.3,3.7,30,1.25,355,125
Miss Fortune,435,85,5.1,0.65,212,38,6.95,0.65,46.5,3,0.658,3.01,15,3,30,0,325,550
Mordekaiser,421,80,7.45,0.55,0,0,0,0,51.7,3.5,0.694,3,15,3.5,30,1.25,340,125
Morgana,403,86,4.7,0.6,240,60,6.8,0.65,51.58,3.5,0.579,1.53,15,3.8,30,0,335,425
Nami,365,74,4.5,0.55,305,43,6.9,0.6,48,3.1,0.644,2.6,9,4,30,0,340,550
Nasus,410,90,7.5,0.9,200,45,6.6,0.5,53.3,3.5,0.638,3.48,15,3.5,30,1.25,350,125
Nautilus,432,86,7.45,0.55,200,50,7.45,0.7,52,3.3,0.613,0.98,16,3.25,30,1.25,325,175
Nidalee,370,90,5,0.6,220,45,7,0.5,49,3.5,0.672,3.22,11,3.5,30,0,335,525
Nocturne,430,85,7,0.75,215,35,6,0.45,54,3.1,0.668,2.7,17,3.5,30,1.25,345,125
Nunu,437,96,7.05,0.8,213,42,6.6,0.5,51.6,3.4,0.625,2.25,16.5,3.5,30,1.25,350,125
Olaf,441,93,7,0.9,225,45,6.5,0.575,54.1,3.5,0.694,2.7,17,3,30,1.25,350,125
Orianna,385,79,5.95,0.55,250,50,7,0.5,44,2.6,0.658,3.5,8,3,30,0,325,525
